,ID.x,latitude,longitude,study,site,SiteBlock,replicate,treatment.direction,treatment.level,grouping.x,treat.duration.y,duration_rescale,size.local,size.gamma,N.replicates,delta.P.year,delta.P1_rescale,MAP_chelsa,MAP_rescale,PET_rescale,PET_chelsa,LRR_cum.abs,frequency,notes
1,Baez_2013a.csv,34.33333333,-106.96667,Baez_2013,C,C - A,1,decr.P,1,2010_1_Baez_2013a;C;P;decr.P;1;2010;2,3,-0.286792881,1,3,3,-50,-0.747839312,253,-0.319195674,0.815496731,1333.086163,-0.027144349,decrease,
2,Baez_2013a.csv,34.33333333,-106.96667,Baez_2013,C,C - A,2,decr.P,1,2010_1_Baez_2013a;C;P;decr.P;1;2010;2,3,-0.286792881,1,3,3,-50,-0.747839312,253,-0.319195674,0.815496731,1333.086163,-0.798701048,decrease,
3,Baez_2013a.csv,34.33333333,-106.96667,Baez_2013,C,C - A,3,decr.P,1,2010_1_Baez_2013a;C;P;decr.P;1;2010;2,3,-0.286792881,1,3,3,-50,-0.747839312,253,-0.319195674,0.815496731,1333.086163,0.080659754,decrease,
4,Baez_2013b.csv,34.33333333,-106.96667,Baez_2013,C,C - A,1,incr.P,1,2010_1_Baez_2013b;C;P;incr.P;1;2010;2,3,-0.286792881,1,3,3,42,0.577879373,253,-0.319195674,0.815496731,1333.086163,-0.141524653,increase,
5,Baez_2013b.csv,34.33333333,-106.96667,Baez_2013,C,C - A,2,incr.P,1,2010_1_Baez_2013b;C;P;incr.P;1;2010;2,3,-0.286792881,1,3,3,42,0.577879373,253,-0.319195674,0.815496731,1333.086163,0.793011636,increase,
6,Baez_2013b.csv,34.33333333,-106.96667,Baez_2013,C,C - A,3,incr.P,1,2010_1_Baez_2013b;C;P;incr.P;1;2010;2,3,-0.286792881,1,3,3,42,0.577879373,253,-0.319195674,0.815496731,1333.086163,0.345884742,increase,
7,Baez_2013c.csv,34.33333333,-106.96667,Baez_2013,G,G - A,1,decr.P,1,2010_1_Baez_2013c;G;P;decr.P;1;2010;2,3,-0.286792881,1,3,3,-50,-0.747839312,253,-0.319195674,0.815496731,1333.086163,0.316969265,decrease,
8,Baez_2013c.csv,34.33333333,-106.96667,Baez_2013,G,G - A,2,decr.P,1,2010_1_Baez_2013c;G;P;decr.P;1;2010;2,3,-0.286792881,1,3,3,-50,-0.747839312,253,-0.319195674,0.815496731,1333.086163,-0.528405361,decrease,
9,Baez_2013c.csv,34.33333333,-106.96667,Baez_2013,G,G - A,3,decr.P,1,2010_1_Baez_2013c;G;P;decr.P;1;2010;2,3,-0.286792881,1,3,3,-50,-0.747839312,253,-0.319195674,0.815496731,1333.086163,-0.419825014,decrease,
10,Baez_2013d.csv,34.33333333,-106.96667,Baez_2013,G,G - A,1,incr.P,1,2010_1_Baez_2013d;G;P;incr.P;1;2010;2,3,-0.286792881,1,3,3,42,0.577879373,253,-0.319195674,0.815496731,1333.086163,0.62284226,increase,
11,Baez_2013d.csv,34.33333333,-106.96667,Baez_2013,G,G - A,2,incr.P,1,2010_1_Baez_2013d;G;P;incr.P;1;2010;2,3,-0.286792881,1,3,3,42,0.577879373,253,-0.319195674,0.815496731,1333.086163,-0.000706714,increase,
12,Baez_2013d.csv,34.33333333,-106.96667,Baez_2013,G,G - A,3,incr.P,1,2010_1_Baez_2013d;G;P;incr.P;1;2010;2,3,-0.286792881,1,3,3,42,0.577879373,253,-0.319195674,0.815496731,1333.086163,-0.189642721,increase,
13,Baez_2013e.csv,34.33333333,-106.96667,Baez_2013,M,M - A,1,decr.P,1,2010_1_Baez_2013e;M;P;decr.P;1;2010;2,3,-0.286792881,1,3,3,-50,-0.747839312,253,-0.319195674,0.815496731,1333.086163,-0.257966037,decrease,
14,Baez_2013e.csv,34.33333333,-106.96667,Baez_2013,M,M - A,2,decr.P,1,2010_1_Baez_2013e;M;P;decr.P;1;2010;2,3,-0.286792881,1,3,3,-50,-0.747839312,253,-0.319195674,0.815496731,1333.086163,-0.570129337,decrease,
15,Baez_2013e.csv,34.33333333,-106.96667,Baez_2013,M,M - A,3,decr.P,1,2010_1_Baez_2013e;M;P;decr.P;1;2010;2,3,-0.286792881,1,3,3,-50,-0.747839312,253,-0.319195674,0.815496731,1333.086163,0.285842146,decrease,
16,Baez_2013f.csv,34.33333333,-106.96667,Baez_2013,M,M - A,1,incr.P,1,2010_1_Baez_2013f;M;P;incr.P;1;2010;2,3,-0.286792881,1,3,3,42,0.577879373,253,-0.319195674,0.815496731,1333.086163,0.083550347,increase,
17,Baez_2013f.csv,34.33333333,-106.96667,Baez_2013,M,M - A,2,incr.P,1,2010_1_Baez_2013f;M;P;incr.P;1;2010;2,3,-0.286792881,1,3,3,42,0.577879373,253,-0.319195674,0.815496731,1333.086163,-0.413291269,increase,
18,Baez_2013f.csv,34.33333333,-106.96667,Baez_2013,M,M - A,3,incr.P,1,2010_1_Baez_2013f;M;P;incr.P;1;2010;2,3,-0.286792881,1,3,3,42,0.577879373,253,-0.319195674,0.815496731,1333.086163,0.599044255,increase,
19,Chimner_2010a.csv,41,-104,Chimner_2010,HPGRS,HPGRS - A,1,incr.P,1,2005_2_Chimner_2010a;HPGRS;P;incr.P;1;2005;2,2,-0.349380378,1,3,3,23,0.304089644,361,-0.179519561,0.464764795,1067.43561,0.331407422,increase,
20,Chimner_2010a.csv,41,-104,Chimner_2010,HPGRS,HPGRS - A,2,incr.P,1,2005_2_Chimner_2010a;HPGRS;P;incr.P;1;2005;2,2,-0.349380378,1,3,3,23,0.304089644,361,-0.179519561,0.464764795,1067.43561,0.35350251,increase,
21,Chimner_2010a.csv,41,-104,Chimner_2010,HPGRS,HPGRS - A,3,incr.P,1,2005_2_Chimner_2010a;HPGRS;P;incr.P;1;2005;2,2,-0.349380378,1,3,3,23,0.304089644,361,-0.179519561,0.464764795,1067.43561,0.148141104,increase,
22,Chimner_2010b.csv,41,-104,Chimner_2010,HPGRS,HPGRS - A,1,incr.P,2,2005_2_Chimner_2010b;HPGRS;P;incr.P;2;2005;2,2,-0.349380378,1,3,3,35,0.477009473,361,-0.179519561,0.464764795,1067.43561,0.019620272,increase,
23,Chimner_2010b.csv,41,-104,Chimner_2010,HPGRS,HPGRS - A,2,incr.P,2,2005_2_Chimner_2010b;HPGRS;P;incr.P;2;2005;2,2,-0.349380378,1,3,3,35,0.477009473,361,-0.179519561,0.464764795,1067.43561,0.21552885,increase,
24,Chimner_2010b.csv,41,-104,Chimner_2010,HPGRS,HPGRS - A,3,incr.P,2,2005_2_Chimner_2010b;HPGRS;P;incr.P;2;2005;2,2,-0.349380378,1,3,3,35,0.477009473,361,-0.179519561,0.464764795,1067.43561,0.154803801,increase,
25,Chimner_2010c.csv,41,-104,Chimner_2010,HPGRS,HPGRS - A,1,incr.P,3,2005_2_Chimner_2010c;HPGRS;P;incr.P;3;2005;2,2,-0.349380378,1,3,3,59,0.82284913,361,-0.179519561,0.464764795,1067.43561,-0.64827609,increase,
26,Chimner_2010c.csv,41,-104,Chimner_2010,HPGRS,HPGRS - A,2,incr.P,3,2005_2_Chimner_2010c;HPGRS;P;incr.P;3;2005;2,2,-0.349380378,1,3,3,59,0.82284913,361,-0.179519561,0.464764795,1067.43561,0.000556141,increase,
